VAR2,VAR3,N,Avg_DBH,Min_DBH,Max_DBH,SD(PE),SD(PE%),MEAN(PE),MEAN(PE%),MEAN(APE),MEAN(APE%),SIGMA,RMSE,FI
Merch Stem Bark Volume,ST_BK_CV_MER,126295,11.57,5.00,72.00,2.213,67.240,0.013,12.169,0.990,28.715,0.107,2.213,0.911
Merch Stem Wood Volume,ST_WD_CV_MER,129119,11.53,5.00,72.00,5.804,15.267,-0.244,0.405,2.430,10.841,0.258,5.809,0.979
Merch Stem Wood+Bark Volume,ST_WDBK_CV_MER,139992,11.47,5.00,72.00,6.149,13.746,-0.217,0.201,2.564,9.736,0.274,6.153,0.982
Stump Bark Volume,SP_BK_CV,143853,10.52,1.00,72.00,0.137,NA,-0.003,Inf,0.070,Inf,0.008,0.137,0.680
Stump Wood Volume,SP_WD_CV,222283,11.72,1.00,146.30,0.742,22.086,-0.044,3.117,0.230,16.508,0.025,0.744,0.900
Stump Wood+Bark Volume,SP_WDBK_CV,159512,10.44,1.00,72.00,0.481,22.906,-0.006,1.316,0.210,16.946,0.026,0.481,0.876
Total Stem Bark Volume,ST_BK_CV_TOT,144724,10.49,1.00,72.00,2.133,74.748,0.005,11.710,0.911,27.682,0.104,2.133,0.914
Total Stem Wood Volume,ST_WD_CV_TOT,223757,11.68,1.00,146.30,10.460,12.470,-0.024,0.863,3.092,9.132,0.308,10.460,0.982
Total Stem Wood+Bark Volume,ST_WDBK_CV_TOT,160383,10.42,1.00,72.00,5.740,11.402,-0.140,0.533,2.218,8.323,0.254,5.742,0.984
Sawlog Bark Volume,ST_BK_CV_SAW,70571,14.87,9.00,72.00,2.873,57.699,-0.042,11.565,1.484,29.526,0.130,2.874,0.899
Sawlog Wood Volume,ST_WD_CV_SAW,71469,14.84,9.00,72.00,7.892,38.275,-0.990,-0.872,4.134,12.464,0.351,7.954,0.974
Sawlog Wood+Bark Volume,ST_WDBK_CV_SAW,76957,14.84,9.00,72.00,8.502,33.902,-0.998,-0.904,4.504,11.624,0.381,8.560,0.977
Foliage,FOL_DW,14972,7.95,1.00,86.90,19.119,283.664,-0.106,46.786,7.263,69.239,1.166,19.119,0.808
Total Tree Wood+Bark+Foliage,TT_DW_ADJ,18465,8.06,1.00,57.30,196.285,21.451,-0.469,1.542,75.598,14.499,10.757,196.281,0.975
Total Tree Wood+Bark,TT_WDBK_DW_ADJ,12655,8.24,1.00,57.30,202.352,19.669,-2.811,-0.275,76.862,14.095,10.385,202.364,0.980
Top and Branches,BRT_WDBK_DW_MER,8553,10.90,5.00,57.30,158.983,46.799,-3.424,15.922,64.350,32.965,7.814,159.011,0.896
Merch Stem Bark Weight,ST_BK_DW_MER,16661,10.05,5.00,57.30,41.160,41.777,2.032,9.439,15.295,24.076,2.057,41.209,0.913
Merch Stem Wood Weight,ST_WD_DW_MER,18644,9.76,5.00,57.30,126.076,22.634,-0.643,0.783,54.207,12.607,7.099,126.074,0.974
Merch Stem Wood+Bark Weight,ST_WDBK_DW_MER,17596,10.04,5.00,57.30,146.122,22.555,1.496,1.068,64.388,12.480,8.149,146.125,0.976
Stump Wood+Bark Weight,SP_WDBK_DW,16163,8.37,1.00,57.30,12.501,39.660,-1.677,-3.719,4.635,21.318,0.673,12.612,0.887
Branches,BRT_WDBK_DW_TOT,13210,8.33,1.00,86.90,135.335,174.367,-1.290,21.023,45.762,53.312,6.711,135.336,0.900
Total Stem Bark Weight,ST_BK_DW_TOT,23694,7.94,1.00,57.30,34.675,44.102,1.202,8.508,11.879,25.582,1.861,34.695,0.928
Total Stem Wood Weight,ST_WD_DW_TOT,26404,7.78,1.00,57.30,111.959,26.468,-1.330,-0.586,41.834,14.225,6.356,111.965,0.976
Total Stem Wood+Bark Weight,ST_WDBK_DW_TOT,25203,7.89,1.00,57.30,126.980,26.468,-0.383,-0.283,48.730,14.145,7.223,126.978,0.979
