"VAR2","VAR3","SPCD","N","Avg_DBH","Min_DBH","Max_DBH","SD(PE)","SD(PE%)","MEAN(PE)","MEAN(PE%)","MEAN(APE)","MEAN(APE%)","SIGMA","RMSE","FI"
"Merch Stem Bark Volume","ST_BK_CV_MER","12",2502,8.21151079136691,5,20.9,0.348698001311181,39.1765150000108,0.0135135911431089,9.10650785778563,0.210504620140788,22.5059643807038,0.0332548331377527,0.3488901202719,0.898226380640567
"Merch Stem Wood Volume","ST_WD_CV_MER","12",2651,8.22655601659751,5,20.9,1.1482927713057,13.2029877460392,-0.0492566952813096,-0.285485479956223,0.711729918732637,8.54933869167757,0.106874831958496,1.14913233458931,0.97857588781229
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","12",4250,8.118,5,21.3,1.30890501522047,13.3530244232397,0.0628184714728122,1.04378726788064,0.779048313835329,8.93209103062459,0.118387241317528,1.31025775545729,0.97723565092509
"Stump Bark Volume","SP_BK_CV","12",3616,6.64806415929204,1,20.9,0.0335256984763082,NA,0.00217379008022751,Inf,0.0135673432520739,Inf,0.00285107575657153,0.033591471961584,0.601125685238732
"Stump Wood Volume","SP_WD_CV","12",3967,6.78434585328964,1,20.9,0.131251986470961,19.4530384467704,-0.0293366031121007,2.17133197569595,0.0646347112390781,15.2684377137125,0.0133097620240289,0.1344744497565,0.867336842878743
"Stump Wood+Bark Volume","SP_WDBK_CV","12",5836,6.8592186429061,1,21.3,0.184668703494006,20.0120449883159,-0.0557877907083648,-2.66576815146144,0.0877742806715018,15.8497423465896,0.0177963654977741,0.192896252336775,0.807845846476947
"Total Stem Bark Volume","ST_BK_CV_TOT","12",3617,6.64747027923694,1,20.9,0.312845899787691,32.3538123044349,-0.000800137964971887,4.73807767998636,0.163916210830216,19.6061583933167,0.0303725115661008,0.312803673559235,0.918091388878769
"Total Stem Wood Volume","ST_WD_CV_TOT","12",3986,6.78196186653286,1,20.9,0.97094075438736,10.7930086926113,-0.000461195638457752,0.425925690296885,0.515744754347337,7.55609128332072,0.0904032555775566,0.970819062422105,0.985036818032917
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","12",5837,6.85881445948261,1,21.3,1.08547338819001,10.2458844016024,0.052240606355817,1.10778058164579,0.559190206972208,7.28578110097647,0.0980917574192037,1.08663687502554,0.984635809669792
"Sawlog Bark Volume","ST_BK_CV_SAW","12",757,11.0182298546896,9,20.9,0.513143481580447,33.8704189407396,0.0394104781175748,8.26150213460155,0.35458660518158,21.4438817911623,0.0413750610429211,0.514316611327159,0.849783464946166
"Sawlog Wood Volume","ST_WD_CV_SAW","12",819,11.0236874236874,9,20.9,2.03180240414792,13.5436909461849,-0.376150920580397,-1.87774025238377,1.50965121195206,10.6944617149724,0.169895506863479,2.06510773609068,0.952377302786964
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","12",1240,11.1054032258065,9,21.3,2.34227318120584,15.2924912962414,-0.123067361029876,0.253901181546754,1.67275473411182,11.0067754182336,0.186990345041834,2.34456069247573,0.950432938923028
"Merch Stem Bark Volume","ST_BK_CV_MER","129",2290,13.0172052401747,5,32.8,1.65219319938739,36.1073484480134,0.120263076388278,9.92220255876168,0.981719013000232,23.2949798306019,0.0905539853906317,1.65620456116064,0.909737529952817
"Merch Stem Wood Volume","ST_WD_CV_MER","129",2322,13.0447459086994,5,32.8,4.01033469981965,10.9165758124592,0.0350226186109142,0.279920419772736,2.36976431658514,8.06878484345715,0.214844977839935,4.00962401287849,0.986524079122009
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","129",3067,13.5621128138246,5,44,8.91388976220799,10.2745821100078,0.503357060048284,0.795611755286052,3.44747695732434,7.69483702853289,0.328618472815752,8.9266394464519,0.970160237642597
"Sawlog Bark Volume","ST_BK_CV_SAW","129",1708,15.0456088992974,9,32.8,1.86750005741605,31.6703030261385,0.101247263770042,6.51961702168628,1.19068679149504,21.0756702509943,0.0983377227032581,1.86969665400149,0.888700779376531
"Sawlog Wood Volume","ST_WD_CV_SAW","129",1735,15.0532564841499,9,32.8,4.73843920198652,11.2850310332388,-0.252524086194296,-0.861344952129305,3.16103651573454,8.69053508298074,0.253740619464119,4.74379946735009,0.981750140191997
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","129",2329,15.6150279089738,9,44,10.3231236751152,11.053658911494,0.330691640137244,-0.381554553502702,4.55358984333235,8.41592170792617,0.383514837287134,10.3262037010314,0.963602569683229
"Stump Bark Volume","SP_BK_CV","129",2557,12.001603441533,1,32.8,0.100390453677018,44.0096796945666,-0.0574614011735277,-14.903445966263,0.0710449432750619,30.9453343693142,0.00668606090068394,0.115655152854036,0.71604738105228
"Stump Wood Volume","SP_WD_CV","129",2743,12.0595698140722,1,33,0.287162638996941,18.7534335522586,-0.0607027130202021,0.52787300973909,0.158008257810584,14.7142142129965,0.0169338942742962,0.293457216233726,0.922286873886657
"Stump Wood+Bark Volume","SP_WDBK_CV","129",3369,12.653517364203,1,44,0.641539109327607,18.8671874421209,-0.203656249137028,-6.22508815551864,0.306368200199982,15.556320493818,0.0328607054230077,0.672997869269776,0.804924849960606
"Total Stem Bark Volume","ST_BK_CV_TOT","129",2597,11.8622641509434,1,32.8,1.5954327368846,35.3647901668315,0.0474022292574301,5.6788515204994,0.893134965648842,22.3461260309001,0.0879547401432788,1.59582970776275,0.920510332776957
"Total Stem Wood Volume","ST_WD_CV_TOT","129",2783,11.9287100251527,1,33,3.92464010374069,10.4327087738253,-0.00675644017585908,1.47666038606037,2.15261938655198,7.87490303791117,0.207502581853858,3.9239407475709,0.987538512121185
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","129",3409,12.5397183924905,1,44,8.69305058279071,9.5770551248974,0.288383064891104,1.00756155116299,3.13428676843885,7.12450006461243,0.31760025313699,8.69655826701568,0.972089243690529
"Merch Stem Bark Volume","ST_BK_CV_MER","261",678,13.6278761061947,5,48.7,2.62502818848628,56.4015012652155,0.167401686739286,13.8351376735331,1.22753638461932,27.5886653696053,0.110831385111032,2.62842784437372,0.927445622071684
"Merch Stem Wood Volume","ST_WD_CV_MER","261",696,13.6454022988506,5,48.7,7.88888392898762,14.9529434701566,-0.314090745821403,0.143149543384773,3.43812028868886,11.1331761061839,0.298853706409112,7.88946926424523,0.982261640719054
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","261",1178,13.0590831918506,5,48.7,7.58038057051534,14.8959323051764,0.12548355553523,2.10376842207704,3.44819856593998,11.0731664991521,0.313311991722679,7.57820138856586,0.982084722485431
"Sawlog Bark Volume","ST_BK_CV_SAW","261",501,15.9822355289421,9,48.7,3.03078897490612,57.7523909823891,0.215301110643944,15.4929449764518,1.55569017497517,27.8617625140894,0.12433202430895,3.03540799307517,0.919614069144465
"Sawlog Wood Volume","ST_WD_CV_SAW","261",511,15.9657534246575,9,48.7,9.30415661308068,15.6604278604498,-0.693923131812444,-1.6070001815814,4.66533141888696,11.763204947195,0.355838880321594,9.32091475673099,0.979902585535738
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","261",851,15.4089306698002,9,48.7,9.09589145249583,16.5361820009465,-0.122121472421606,0.600564728850904,4.7861983382835,12.2107663093369,0.377619265365859,9.09136589129913,0.979194057672732
"Stump Bark Volume","SP_BK_CV","261",760,12.4767105263158,1.1,48.7,0.11378844576337,360.050024903822,0.0127823654128159,36.8602298033138,0.0605144014522071,48.92082648226,0.00537937403490687,0.114429728052516,0.896008509640293
"Stump Wood Volume","SP_WD_CV","261",795,12.6475471698113,1.1,48.7,0.366252206467626,19.9051623039412,-0.0329484111649382,2.80369867598732,0.185982802684298,14.8255931457276,0.0176148658513813,0.367501763434117,0.961165128227603
"Stump Wood+Bark Volume","SP_WDBK_CV","261",1280,12.31015625,1.1,48.7,0.658844142760524,21.8106945262281,-0.0943913446145365,3.09653055262801,0.270315263060318,16.5787693040198,0.0367682567383038,0.665316622986389,0.892737988178015
"Total Stem Bark Volume","ST_BK_CV_TOT","261",760,12.4767105263158,1.1,48.7,2.54904146422841,54.9639746475781,0.159870743117589,15.5769088233311,1.14123164117505,27.7899816270718,0.108820668600494,2.55237566805489,0.931759974666797
"Total Stem Wood Volume","ST_WD_CV_TOT","261",795,12.6475471698113,1.1,48.7,7.57571853845266,14.5032080158232,-0.321710391300389,2.15006416102628,3.15538314863686,10.8538148220924,0.286948165290189,7.57778452909434,0.983310822956149
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","261",1280,12.31015625,1.1,48.7,7.40025392658267,14.3176615660538,0.098354597860884,3.63858683307913,3.22295265417688,10.8228139346047,0.306739230616181,7.39801646515782,0.983239918485213
"Merch Stem Bark Volume","ST_BK_CV_MER","316",2423,10.7046223689641,5,41.8,1.13660041340731,112.979937255551,0.00136557733084331,22.8318035485222,0.657776586060019,43.7704238625549,0.0721808321508311,1.13636666567422,0.807437530119712
"Merch Stem Wood Volume","ST_WD_CV_MER","316",2505,10.6180838323353,5,41.8,3.96288113156105,16.5643670447403,-0.0493445063176005,1.22502777556259,2.00919394684156,12.3153453904716,0.224739534266937,3.9623973186577,0.968908543441388
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","316",2626,10.8530083777609,5,41.8,4.31197872531094,15.6356335304455,-0.150633330997199,0.647892073825001,2.25278233784784,11.5304402877811,0.241460165006724,4.31378841813883,0.972301349689455
"Stump Bark Volume","SP_BK_CV","316",2863,9.46294097100943,1,41.8,0.0654062665214672,113.653778742917,0.0171140743686224,49.7465152462009,0.0383498573096661,62.0870858835109,0.00470191417807329,0.0675971671895189,0.674100808460473
"Stump Wood Volume","SP_WD_CV","316",3038,9.46244239631336,1,41.8,0.377705774784945,24.4111253795365,-0.0230630003458539,6.07537004860595,0.171807325062938,19.2695848530556,0.0230824163362135,0.378347188732285,0.882474721673898
"Stump Wood+Bark Volume","SP_WDBK_CV","316",3099,9.60180703452727,1,41.8,0.418550240602567,23.544933319682,-0.00087668645546862,8.01838764511866,0.193568953517192,19.2367476369693,0.0251916202506817,0.418483623558405,0.886158270609327
"Total Stem Bark Volume","ST_BK_CV_TOT","316",2865,9.45860383944154,1,41.8,1.09576314927074,94.976198630537,0.00539529377317153,22.2827634409905,0.599858695211206,42.3509111870036,0.0713914439243334,1.09558518477033,0.825816947628187
"Total Stem Wood Volume","ST_WD_CV_TOT","316",3068,9.40677966101695,1,41.8,3.66772738754007,13.5208015840049,-0.015536684433378,2.18571478676057,1.71354121361614,10.4245762158604,0.207100393228108,3.6671625119998,0.973746917901243
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","316",3101,9.59771041599484,1,41.8,3.94868152926118,12.4642002617153,-0.102937336079,1.50711792623273,1.87097057471591,9.48116063734777,0.218274663136995,3.94938651331402,0.977237988677379
"Sawlog Bark Volume","ST_BK_CV_SAW","316",929,15.5640473627557,11,41.8,1.63427301102519,92.2731727759233,0.001041061317595,22.9684585112,1.1249076961158,43.9109775698472,0.0896234186887408,1.63339351876453,0.700434409429071
"Sawlog Wood Volume","ST_WD_CV_SAW","316",939,15.5417465388711,11,41.8,6.80339649348372,20.6161028427665,-1.05349897630391,-1.35724643552686,4.59033630798861,15.5056381543209,0.365042265859355,6.88089898623575,0.935504686822767
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","316",1039,15.6631376323388,11,41.8,7.23094714712756,20.1684088386852,-1.20523038596107,-1.26497137436902,5.07294178686299,15.129660640632,0.391958283140901,7.32726776948094,0.939534042813443
"Merch Stem Bark Volume","ST_BK_CV_MER","318",2286,14.4410323709536,5,33.2,2.77546844004669,74.8531163557875,-0.0905726654106272,24.0547663725337,1.66101634587574,43.700530464417,0.139169866923719,2.77633908765982,0.785565891201886
"Merch Stem Wood Volume","ST_WD_CV_MER","318",2369,14.3126213592233,5,33.2,7.02504927999871,14.7618547050881,-0.450155771284884,1.37934810431099,4.0795824047844,10.9165776067696,0.346116485836143,7.03797737096629,0.958933158438839
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","318",2503,14.2956052736716,5,33.2,8.06941394067729,15.0891211320246,-0.382124773890324,1.9084014315182,4.69575763115136,11.0259194531777,0.395800535458037,8.07684627377727,0.959141096647621
"Stump Bark Volume","SP_BK_CV","318",2433,13.7596383066173,1,33.2,0.110903272480496,84.7029117051039,0.0728686027962824,58.5510253316766,0.0859621704509939,66.8066168155041,0.00671184866502653,0.132681248954351,-0.0664745810595713
"Stump Wood Volume","SP_WD_CV","318",2727,13.7496883021636,1,37.5,0.438085026155267,25.5992195269162,0.133487207915765,8.76452652029277,0.308150476825873,22.1245412223951,0.0259538395483862,0.457894035414134,0.825393667483006
"Stump Wood+Bark Volume","SP_WDBK_CV","318",2668,13.6255622188906,1,33.2,0.469884119478415,24.1203522004545,0.215405288283355,12.575296465589,0.352745588350173,22.598536962224,0.0286261902309699,0.516824698209101,0.821853413981432
"Total Stem Bark Volume","ST_BK_CV_TOT","318",2444,13.7330605564648,1,33.2,2.7395336485932,70.8517878518018,0.00475415706486511,23.2290924004037,1.59369076489247,41.872870551768,0.13756407242634,2.73897725619123,0.79761112177969
"Total Stem Wood Volume","ST_WD_CV_TOT","318",2738,13.7260043827611,1,37.5,6.8978996313218,13.6390836797404,0.000929921694084858,0.916442121722517,3.86226101733383,10.2533496954701,0.336097790996323,6.89663991870953,0.962065237300604
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","318",2679,13.6018663680478,1,33.2,7.73277039349707,13.3165269058916,-0.0706381709932825,1.1138803771584,4.30214800822841,9.87190628813289,0.376187689508751,7.7316497294434,0.9649014481489
"Sawlog Bark Volume","ST_BK_CV_SAW","318",1623,17.0664202094886,11,33.2,3.14897530272955,70.3225954488684,-0.186117056745111,15.7875013261181,2.00922678440591,37.0031618731407,0.149449094503864,3.15350207143736,0.72197808650184
"Sawlog Wood Volume","ST_WD_CV_SAW","318",1660,17.0116265060241,11,33.2,8.64521164641334,17.9835814409682,-1.20270054957194,0.098591851152159,5.70597385785853,12.3190037635404,0.425218614187804,8.72588958885853,0.932223808703182
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","318",1747,17.0308528906697,11,33.2,9.87100686154884,18.3121130017661,-1.23172665606669,0.365801862804576,6.52972442287034,12.4254998484713,0.481642453665217,9.94475506213474,0.933544216885618
"Merch Stem Bark Volume","ST_BK_CV_MER","371",2712,16.6847345132743,5,38.6,2.26600406040273,36.011877329101,-0.0531108773792475,8.30910186263581,1.40582735950729,22.6586860888053,0.103503044957313,2.26620868713909,0.874808449750919
