"VAR2","VAR3","REGION","N","Avg_DBH","Min_DBH","Max_DBH","SD(PE)","SD(PE%)","MEAN(PE)","MEAN(PE%)","MEAN(APE)","MEAN(APE%)","SIGMA","RMSE","FI"
"Merch Stem Bark Volume","ST_BK_CV_MER","Lake_States",8677,11.1079290077216,5,38,1.59726042463152,63.6170952684659,-0.00140040003945006,20.2320313142191,0.840484186772893,39.4475850398357,0.0918551326074645,1.59716899601602,0.87535396886414
"Merch Stem Wood Volume","ST_WD_CV_MER","Lake_States",10771,10.7002785256708,5,38,3.85567205683051,15.3793037377442,0.186487473524294,1.86969607679971,1.86723425873978,9.99277661100485,0.212162134408782,3.86000056746697,0.975338147207556
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","Lake_States",9550,10.8578952879581,5,38,4.44422916202038,14.0666423429277,0.12626470382457,1.48319201035728,2.11316423501219,9.43340345145538,0.239037223154946,4.4457898549466,0.977296397015158
"Stump Bark Volume","SP_BK_CV","Lake_States",9120,10.733048245614,1.1,38,0.104829085444624,NA,-0.00700308919297734,Inf,0.0561596691449812,Inf,0.00658162696018541,0.105057010542617,0.653991985156096
"Stump Wood Volume","SP_WD_CV","Lake_States",14353,10.6944471539051,1.1,39,0.382839222275186,21.9199572401612,-0.0398483460687949,1.90782502741314,0.177182140113373,16.6185228481764,0.0217010754230827,0.384894205311036,0.875157141793313
"Stump Wood+Bark Volume","SP_WDBK_CV","Lake_States",10010,10.5177522477522,1.1,38,0.423231949034747,21.2177132576017,-0.0390171321715679,2.07474809558738,0.194141636740929,16.1413019230154,0.0237931065665555,0.425005558378957,0.890732050016947
"Total Stem Bark Volume","ST_BK_CV_TOT","Lake_States",9139,10.7273771747456,1.1,38,1.6191738348268,61.0459719823924,-0.00547516803153867,19.3790717576773,0.845762068990099,38.1589444386649,0.0945800324422091,1.61909450396701,0.876894131505788
"Total Stem Wood Volume","ST_WD_CV_TOT","Lake_States",14688,10.584068627451,1.1,39,3.99910332956593,11.7607926319761,0.211254939267559,1.68501485898998,1.86694605242242,8.66554505319559,0.213539465975035,4.00454332647549,0.973720633663029
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","Lake_States",10029,10.5129923222654,1.1,38,4.33212725423257,11.2097411959823,0.125233489035908,1.52975732137705,1.99571811181686,7.96011981686448,0.231657732982785,4.33372111098223,0.979580452769308
"Sawlog Bark Volume","ST_BK_CV_SAW","Lake_States",4513,14.2664967870596,9,38,2.06418806191056,61.1066752750768,-0.0765186093637637,15.554721649158,1.19034851275052,35.474459552456,0.106096173612203,2.06537728260121,0.852812483389481
