"VAR2","VAR3","SPCD","REGION","N","Avg_DBH","Min_DBH","Max_DBH","SD(PE)","SD(PE%)","MEAN(PE)","MEAN(PE%)","MEAN(APE)","MEAN(APE%)","SIGMA","RMSE","FI"
"Merch Stem Bark Volume","ST_BK_CV_MER","12","Lake_States",403,8.27717121588089,5,19,0.462940890762809,73.8541065473085,0.0311271914529466,23.0683167206413,0.316834834129567,42.4571138205051,0.0474714322171268,0.463412746044064,0.764078870325893
"Merch Stem Wood Volume","ST_WD_CV_MER","12","Lake_States",552,8.33170289855073,5,19,1.10277138475217,11.9768794010092,0.374661143033475,4.68520089421484,0.782717889691111,9.93644237965608,0.111625950505128,1.16373219034869,0.960799944977098
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","12","Lake_States",411,8.27907542579075,5,19,1.2619852676195,11.7872211378541,0.351775720799418,3.85285595247968,0.844703231674651,9.47341236579427,0.122693298897917,1.30861683378928,0.962486672949745
"Stump Bark Volume","SP_BK_CV","12","Lake_States",452,7.74004424778761,1.3,19,0.0659122513960929,89.7616624795935,-0.00412718577379659,28.8347812792703,0.0238497685985103,50.0151078166514,0.00507097507456932,0.0659685302779672,0.391751081496806
"Stump Wood Volume","SP_WD_CV","12","Lake_States",721,7.95423023578363,1.3,19,0.185485953099291,22.88735383839,-0.059617799892274,-1.24452883181657,0.110726557119641,18.2581075610864,0.0185537129778925,0.194709019721058,0.774452503617294
"Stump Wood+Bark Volume","SP_WDBK_CV","12","Lake_States",463,7.72915766738661,1.3,19,0.196301022580646,22.406082231133,-0.0514317547823203,1.34506655357461,0.114695674821346,18.4172814286029,0.0193471972810234,0.202721705514697,0.806168770171688
"Total Stem Bark Volume","ST_BK_CV_TOT","12","Lake_States",453,7.73289183222958,1.3,19,0.485997089974945,65.8773846467036,0.0140081209042266,19.6145733940599,0.317128558334843,38.3377664637814,0.050102668338916,0.485662435428025,0.781652767647179
"Total Stem Wood Volume","ST_WD_CV_TOT","12","Lake_States",740,7.91135135135135,1.3,19,1.11824498977902,10.894515205557,0.26307508417757,3.40775573140418,0.729977316848406,8.82372913181636,0.110658341240652,1.14803768677117,0.968003259214721
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","12","Lake_States",464,7.72219827586207,1.3,19,1.1298081343666,9.87689983625851,0.283139591053174,3.24342322552217,0.722986072400042,8.07836594057244,0.111229261389474,1.16356497166516,0.974898017549155
"Sawlog Bark Volume","ST_BK_CV_SAW","12","Lake_States",143,10.7475524475524,9,19,0.554023824775245,56.9357512944817,0.0881998230067686,17.2795097838601,0.430303645761165,34.5030795427084,0.0478761408609895,0.559084212671423,0.64511444075833
"Sawlog Wood Volume","ST_WD_CV_SAW","12","Lake_States",205,10.8512195121951,9,19,1.82486460003061,15.0290012301544,0.509799668451169,5.56243823928857,1.38932710569513,12.2665610331629,0.158634081974571,1.89044491320662,0.883384275770824
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","12","Lake_States",144,10.7777777777778,9,19,2.0015891432496,14.3874614772163,0.547093350540919,4.50492406094631,1.4946302234761,11.5375703490132,0.171170558290762,2.0682959881017,0.89823430075033
"Merch Stem Bark Volume","ST_BK_CV_MER","129","Lake_States",266,14.087969924812,5.1,32,1.5520291144982,56.234679356256,-0.071965636171343,15.1031466045245,1.03424809212805,28.3547280763028,0.0876302471893742,1.55077974164574,0.917399928635602
