"VAR2","VAR3","STATE","N","Avg_DBH","Min_DBH","Max_DBH","SD(PE)","SD(PE%)","MEAN(PE)","MEAN(PE%)","MEAN(APE)","MEAN(APE%)","SIGMA","RMSE","FI"
"Merch Stem Bark Volume","ST_BK_CV_MER","WI",2243,11.205706642889,5,34.2,1.6878269976494,73.135792869442,0.0871669828857765,28.5771934780578,0.95236739159873,48.178045480667,0.0982294713641352,1.68970056224068,0.876996837140287
"Merch Stem Wood Volume","ST_WD_CV_MER","WI",3150,10.4646349206349,5,34.2,3.35821551122193,13.0965539058218,0.0737029743594783,1.09894045000668,1.7284551514918,9.64032800190899,0.19683286160589,3.35849123180923,0.979163089474544
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","WI",2465,10.9607707910751,5,34.2,4.07636176037468,12.7676689355496,0.00958374871739233,0.806513210348795,2.13992478799154,9.22385217350258,0.230471279107014,4.07554609649971,0.980356831500135
"Stump Bark Volume","SP_BK_CV","WI",2270,11.1225991189427,3.2,34.2,0.105744711464148,118.657665607532,-0.00259499970673703,31.1433268741802,0.0619152388807027,61.1201792779529,0.00679898996917072,0.105753260278787,0.73523235577301
"Stump Wood Volume","SP_WD_CV","WI",4173,10.647735442128,2.5,37.5,0.332740923281172,22.3685036498046,-0.018238644806809,3.71726566160286,0.163059242180133,16.3536553935176,0.019623664836799,0.333200598068488,0.900430199788438
"Stump Wood+Bark Volume","SP_WDBK_CV","WI",2492,10.88772070626,3.2,34.2,0.404598146238724,20.9072741023695,-0.0310813735970133,2.91580999765179,0.19558197993501,15.9565886292419,0.0229246534236714,0.405709282186497,0.909008266259254
"Total Stem Bark Volume","ST_BK_CV_TOT","WI",2270,11.1225991189427,3.2,34.2,1.73971994120103,72.2844380159547,0.0930575998761457,29.1290062909425,0.997483117371025,48.2111398311559,0.103168460668518,1.74182429524924,0.877696712802816
"Total Stem Wood Volume","ST_WD_CV_TOT","WI",4173,10.647735442128,2.5,37.5,3.47983902170253,10.9691312169331,0.163354666871554,1.39553128924697,1.76898226589615,8.19200167508901,0.19841870188138,3.48325459129893,0.978700492228916
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","WI",2492,10.88772070626,3.2,34.2,4.05354014763836,10.5518812372819,-0.00152198556759452,0.980770344058405,2.08987211415381,7.75790423443633,0.226774651853807,4.05272704119413,0.98194934604143
"Sawlog Bark Volume","ST_BK_CV_SAW","WI",1140,14.5582456140351,9,34.2,2.19533444636967,64.1093410149925,0.000744973227345746,17.3593356469996,1.36718298846039,39.0143183005771,0.113742460016095,2.19437149559344,0.858110433150017
"Sawlog Wood Volume","ST_WD_CV_SAW","WI",1400,14.2560714285714,9,34.2,5.22812822321059,27.9687230642541,-0.593002868535728,0.535007204310213,3.38850132919069,13.0709084312858,0.296675447661624,5.25979593872732,0.963603787472368
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","WI",1174,14.524531516184,9,34.2,6.23952511550277,29.5116157456807,-0.736340382085392,0.416985672019085,4.12003060082212,13.2809714582783,0.344514154966549,6.28018385585825,0.965800245913029
"Merch Stem Bark Volume","ST_BK_CV_MER","MN",3607,11.3457721097865,5,38,1.35756867308189,51.6599772805723,-0.209189483902607,7.85205041022107,0.780562311091892,29.3294463723367,0.0846829075097804,1.37340525461469,0.913160892477404
