"VAR2","VAR3","DIVISION","DIVISION_DESCRIPTION","N","Avg_DBH","Min_DBH","Max_DBH","SD(PE)","SD(PE%)","MEAN(PE)","MEAN(PE%)","MEAN(APE)","MEAN(APE%)","SIGMA","RMSE","FI"
"Merch Stem Bark Volume","ST_BK_CV_MER","210","WARM_CONTINENTAL_DIVISION",14716,11.3527317205762,5,38.6,1.52923384032622,50.5151511070079,-0.0146316507378075,13.6411354905407,0.771406200321671,30.1936748583788,0.0855431981874631,1.52925187955306,0.882493657054232
"Merch Stem Wood Volume","ST_WD_CV_MER","210","WARM_CONTINENTAL_DIVISION",15903,11.1995724077218,5,38.6,4.2117484528062,15.0282825956869,-0.160342327370812,0.708182714307851,2.14152988684941,9.73238236050437,0.230727324792774,4.21466715800303,0.977392375006245
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","210","WARM_CONTINENTAL_DIVISION",16056,11.2101208271051,5,38.6,4.66846418229936,13.9075453980286,-0.168404396931848,0.634066890502976,2.34831504556106,9.30039158363199,0.25324308342062,4.67135531226061,0.978941664126699
"Stump Bark Volume","SP_BK_CV","210","WARM_CONTINENTAL_DIVISION",17521,9.96827235888363,1,38.6,0.0947352811190493,NA,0.0095415396986874,Inf,0.0468486827554224,Inf,0.00554992802359831,0.095211880766021,0.620670644716023
"Stump Wood Volume","SP_WD_CV","210","WARM_CONTINENTAL_DIVISION",20993,10.0961892059258,1,39,0.396442803754756,23.089115526602,-0.000718714744295822,3.98842098721176,0.184479155183036,17.7559556393816,0.0222007601816142,0.396434012877724,0.858621099744372
"Stump Wood+Bark Volume","SP_WDBK_CV","210","WARM_CONTINENTAL_DIVISION",19099,9.87257448033928,1,38.6,0.432049411861973,22.3179888958587,0.0182805707996163,4.72269941003594,0.201385526369807,17.2791651897484,0.0239032025437601,0.432424675431424,0.869868917722804
"Total Stem Bark Volume","ST_BK_CV_TOT","210","WARM_CONTINENTAL_DIVISION",17768,9.97257991895543,1,38.6,1.46212890889067,45.7835840612656,-0.00659134867108635,10.8216283295619,0.674984096681765,27.3223683528452,0.0827858705004869,1.46210262071021,0.889095262489306
"Total Stem Wood Volume","ST_WD_CV_TOT","210","WARM_CONTINENTAL_DIVISION",21556,10.0342039339395,1,39,3.96444448375001,11.8165179714204,-0.0250972807289213,0.959530066103143,1.8255109398683,8.53005417368501,0.213401062414496,3.96443196718539,0.978856444676591
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","210","WARM_CONTINENTAL_DIVISION",19346,9.87775250697819,1,38.6,4.24156375312639,11.2159876728864,-0.0674669769728835,0.733681938191983,1.93235022696072,7.94624862641856,0.228705772756624,4.24199067799704,0.982461516816733
"Sawlog Bark Volume","ST_BK_CV_SAW","210","WARM_CONTINENTAL_DIVISION",7656,14.9013322884013,9,38.6,1.99008160306235,50.9151050133001,-0.0516516091839661,11.7883574674949,1.16087004001351,29.5499462718996,0.102219786144357,1.99062185728858,0.848595855330507
"Sawlog Wood Volume","ST_WD_CV_SAW","210","WARM_CONTINENTAL_DIVISION",8142,14.7456153279293,9,38.6,6.09024259694263,23.6172927749794,-0.774353332099289,0.226282019060731,3.87098136824863,12.2654161074175,0.328161575289035,6.13890238163067,0.961571478725942
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","210","WARM_CONTINENTAL_DIVISION",8100,14.8786543209877,9,38.6,6.83745110287925,23.4033695702866,-0.77554750003754,0.36315844348553,4.34344466950209,11.9329339751601,0.364637989251696,6.88087493078323,0.963563964145666
"Merch Stem Bark Volume","ST_BK_CV_MER","220","HOT_CONTINENTAL_DIVISION",6365,13.1191516103692,5,39.5,2.35064123376186,74.4989036718579,0.104892550245552,26.3889412014109,1.34280003950504,46.0388230127869,0.125097258709597,2.35279590017744,0.778063401060037
"Merch Stem Wood Volume","ST_WD_CV_MER","220","HOT_CONTINENTAL_DIVISION",7589,12.5044801686652,5,39.5,5.52921692052411,15.1384270233489,-0.311854813331223,1.06156486220474,3.01562112962865,10.8476303642607,0.289879783372633,5.53764071468777,0.971748397723066
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","220","HOT_CONTINENTAL_DIVISION",7987,12.8428070614749,5,44.3,7.53788623241836,14.8060555875876,0.146688535695876,1.82706962184144,3.52300829767773,10.458719264468,0.334574958107494,7.53884157898197,0.968696246652804
"Sawlog Bark Volume","ST_BK_CV_SAW","220","HOT_CONTINENTAL_DIVISION",4192,15.797161259542,9,39.5,2.70250627152173,77.5532472095983,0.101488943739231,26.0547184861514,1.67276533296846,46.119108982874,0.135181883215557,2.7040891066311,0.752728740068393
"Sawlog Wood Volume","ST_WD_CV_SAW","220","HOT_CONTINENTAL_DIVISION",4525,15.5739668508287,9,39.5,7.2509714025118,18.1532149258043,-1.18788588218001,-1.05606542833325,4.81141929615405,13.0611042362376,0.3863853392161,7.34683877691875,0.955197809458732
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","220","HOT_CONTINENTAL_DIVISION",4975,15.8507135678392,9,44.3,9.8664831794396,18.0899370992452,-0.496743606546109,-0.059947999146125,5.59011987100781,12.6969243934131,0.44088703784921,9.87798953259565,0.95508763451688
"Stump Bark Volume","SP_BK_CV","220","HOT_CONTINENTAL_DIVISION",6979,12.1946697234561,1,39.5,0.113864202305004,151.569715370158,0.0283891231791385,47.4046460872128,0.0713057870449094,66.2519872494922,0.00687917482102112,0.11734198377957,0.399667011069612
"Stump Wood Volume","SP_WD_CV","220","HOT_CONTINENTAL_DIVISION",9502,11.8439381182909,1,39.5,0.397990901257347,22.2499417232229,0.0213707722091779,4.73134212121068,0.21593665952232,17.4509638921753,0.0224440580375163,0.398543344637691,0.889667156433084
"Stump Wood+Bark Volume","SP_WDBK_CV","220","HOT_CONTINENTAL_DIVISION",8753,11.9718382268936,1,44.3,0.471325988854544,22.9996946423578,0.0685175865623383,8.37847079098916,0.260709394332117,19.0916388859675,0.0256877312938449,0.476253575078784,0.882811860751936
"Total Stem Bark Volume","ST_BK_CV_TOT","220","HOT_CONTINENTAL_DIVISION",7022,12.1495442893762,1,39.5,2.31650272552085,71.6772187492139,0.125039265310193,26.4218990664594,1.27748067340939,44.7859807912947,0.124666282220947,2.31971021878474,0.786781040488238
"Total Stem Wood Volume","ST_WD_CV_TOT","220","HOT_CONTINENTAL_DIVISION",9548,11.8093422706326,1,39.5,5.20883613409743,13.1703468349854,-0.158552657509914,0.872034398773541,2.72056302073415,9.63763131756142,0.2721836708802,5.21097602926652,0.975171486980402
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","220","HOT_CONTINENTAL_DIVISION",8796,11.9369031377899,1,44.3,7.22047564406753,12.8432362276705,0.232457078001968,1.99246878452251,3.17122557586577,9.42674358375076,0.316944740899367,7.22380631406955,0.971931049706909
"Merch Stem Bark Volume","ST_BK_CV_MER","M210","WARM_CONTINENTAL_REGIME_MOUNTAINS",3588,11.4944258639911,5,37,1.45642790951187,32.0000667669025,-0.00234190746928261,6.66329247792197,0.688256585527126,20.5347164135083,0.0756570818424134,1.45622682031889,0.916254849861891
"Merch Stem Wood Volume","ST_WD_CV_MER","M210","WARM_CONTINENTAL_REGIME_MOUNTAINS",3588,11.4944258639911,5,37,4.11851923320762,12.8830412632942,-0.363610045275588,-0.92578433723679,2.20512975418652,9.42997452546407,0.234940004073414,4.1339672783717,0.980831535681758
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","M210","WARM_CONTINENTAL_REGIME_MOUNTAINS",3944,11.5163286004057,5,37,4.6594331210384,12.9177081228789,-0.259890168201187,-0.422490097756604,2.45533321907964,9.33740604008093,0.260890655168693,4.66608564695132,0.981153107420237
"Sawlog Bark Volume","ST_BK_CV_SAW","M210","WARM_CONTINENTAL_REGIME_MOUNTAINS",1922,14.8810613943809,9,37,1.92717558110364,37.7657982225547,-0.0101125795820857,9.14594055333123,1.07634414779955,23.4102212995504,0.0950832898659989,1.92670070835325,0.89525224001376
"Sawlog Wood Volume","ST_WD_CV_SAW","M210","WARM_CONTINENTAL_REGIME_MOUNTAINS",1922,14.8810613943809,9,37,5.75067367228492,16.2884079461185,-0.797051394815308,-0.368638279821682,3.73595136264215,11.4710310132852,0.317023166144148,5.80416509472635,0.970434606780498
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","M210","WARM_CONTINENTAL_REGIME_MOUNTAINS",2144,14.8111473880597,9,37,6.41460128411921,16.3392684525412,-0.690623235750996,0.165959895825449,4.12369568187905,11.4336401527775,0.350587328282846,6.45018436473613,0.972018102784569
"Stump Bark Volume","SP_BK_CV","M210","WARM_CONTINENTAL_REGIME_MOUNTAINS",3870,10.9468992248062,1.1,37,0.0826329768686846,57.3727645978971,0.0328925074634277,25.5185407479418,0.0449996924232879,36.5799874117001,0.00447888783243882,0.0889289689491358,0.426325575270257
"Stump Wood Volume","SP_WD_CV","M210","WARM_CONTINENTAL_REGIME_MOUNTAINS",25507,12.4889951777943,1,58.1,0.478108889763616,17.5853222993975,-0.0631687501007415,2.67186597271876,0.191346834274416,13.6792626749633,0.0202047217804248,0.4822545382687,0.881360644899292
"Stump Wood+Bark Volume","SP_WDBK_CV","M210","WARM_CONTINENTAL_REGIME_MOUNTAINS",4261,10.9615113823046,1.1,37,0.374281316116776,19.2447965534015,0.0899603337162304,6.89697867099442,0.196157470104975,16.0323039727618,0.0201492607024059,0.384898023894826,0.870963967591724
"Total Stem Bark Volume","ST_BK_CV_TOT","M210","WARM_CONTINENTAL_REGIME_MOUNTAINS",3909,10.9251726784344,1.1,37,1.44082587469369,30.5166160055352,0.0459622148061783,7.28610776304002,0.658139851169313,19.8700104393423,0.0747731738889732,1.44137456949236,0.917251779177291
"Total Stem Wood Volume","ST_WD_CV_TOT","M210","WARM_CONTINENTAL_REGIME_MOUNTAINS",25546,12.483316370469,1,58.1,6.04739501002297,10.2223505368401,-0.0105676481381705,0.690839011403231,2.78479302670154,7.75648510083503,0.260843306597019,6.04728587951282,0.984923093722573
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","M210","WARM_CONTINENTAL_REGIME_MOUNTAINS",4300,10.9416279069767,1.1,37,4.54007957972206,11.3803595458967,-0.00980759692376715,0.684119654267541,2.264768430907,8.36051857234293,0.250907845328501,4.53956222732695,0.982551573526855
"Merch Stem Bark Volume","ST_BK_CV_MER","M220","HOT_CONTINENTAL_REGIME_MOUNTAINS",10441,12.3308303802318,5,48.7,2.15404145847753,76.8022892352592,0.00510762495464635,12.3606654249788,1.1418296643924,29.47281002622,0.115682932974773,2.15394435881938,0.877075926754633
"Merch Stem Wood Volume","ST_WD_CV_MER","M220","HOT_CONTINENTAL_REGIME_MOUNTAINS",10441,12.3308303802318,5,48.7,5.05485946754283,15.7708371059428,0.00550685341756956,1.32833172364961,2.60814936342462,11.3620109330749,0.25618162792144,5.05462039373694,0.975829036415597
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","M220","HOT_CONTINENTAL_REGIME_MOUNTAINS",11993,12.4223046777287,5,48.7,5.50715337672007,14.272559805868,-0.18955352661339,0.398076425711639,2.92749862513408,10.096296495074,0.283472510468732,5.51018511341834,0.978814514548141
"Stump Bark Volume","SP_BK_CV","M220","HOT_CONTINENTAL_REGIME_MOUNTAINS",11183,11.6700974693732,1,48.7,0.110355573831688,NA,0.0144420388341841,Inf,0.0666346885368928,Inf,0.00665488373170266,0.111291671546151,0.734190802566803
"Stump Wood Volume","SP_WD_CV","M220","HOT_CONTINENTAL_REGIME_MOUNTAINS",11183,11.6700974693732,1,48.7,0.354925730664409,21.3141795834389,-0.0182393003841835,0.93022262355099,0.18584993958107,16.6280667066871,0.0203543566237758,0.355378223507845,0.917262348041976
"Stump Wood+Bark Volume","SP_WDBK_CV","M220","HOT_CONTINENTAL_REGIME_MOUNTAINS",12788,11.8034798248358,1,48.7,0.395873533400328,20.7853990402001,0.00694351020176576,2.81221468123443,0.216701237754818,16.0626215453553,0.0229383851373948,0.395918946080723,0.921798574168085
"Total Stem Bark Volume","ST_BK_CV_TOT","M220","HOT_CONTINENTAL_REGIME_MOUNTAINS",11287,11.5896252325684,1,48.7,2.13843719875962,75.8090429343424,-0.00297907083483057,12.8540706136781,1.09988235952728,29.2207769860761,0.115923389824609,2.13834454173724,0.884098707520777
"Total Stem Wood Volume","ST_WD_CV_TOT","M220","HOT_CONTINENTAL_REGIME_MOUNTAINS",11289,11.589113296129,1,48.7,4.88518995444458,13.7448856028906,0.029792763409445,1.4096411945302,2.41490051482953,10.1964214993164,0.246625344587227,4.88506443026179,0.978323583966633
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","M220","HOT_CONTINENTAL_REGIME_MOUNTAINS",12892,11.7319500465405,1,48.7,5.29112889339366,11.655584209509,-0.148299627761303,0.658415708176508,2.68285704486174,8.61661475506431,0.269875743264494,5.2930016213239,0.981350221533268
"Sawlog Bark Volume","ST_BK_CV_SAW","M220","HOT_CONTINENTAL_REGIME_MOUNTAINS",5990,15.83,9,48.7,2.69495632861824,74.9787233546855,-0.044214617970737,13.500942675749,1.64645308903357,31.0066830013008,0.136112062611364,2.69509407254305,0.832721937714294
"Sawlog Wood Volume","ST_WD_CV_SAW","M220","HOT_CONTINENTAL_REGIME_MOUNTAINS",5990,15.83,9,48.7,6.85953170461848,17.8531715592125,-0.927046032619313,-0.942169610436797,4.37831683288697,12.7808540399806,0.346569585441044,6.92132460337231,0.96202353571107
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","M220","HOT_CONTINENTAL_REGIME_MOUNTAINS",6920,15.8971820809249,9,48.7,7.63180251454397,17.0271057546825,-1.30093179553771,-1.47239514727339,5.08336123723256,12.2057397057274,0.398019133611516,7.74134460771777,0.963710763611289
"Stump Wood Volume","SP_WD_CV","M260","MEDITERRANEAN_REGIME_MOUNTAINS",3569,15.1636032502101,1.1,64.5,0.436468695402477,19.8781572702854,0.00933580503763372,2.76330955094361,0.234179328164,15.1612521177515,0.0177088383709859,0.43650739014024,0.953869909766989
"Total Stem Wood Volume","ST_WD_CV_TOT","M260","MEDITERRANEAN_REGIME_MOUNTAINS",3616,15.1744192477876,1.1,64.5,18.2472773064901,12.7272780900373,-0.00648754881598614,0.963778296883458,5.9034176116187,9.46363879226922,0.4665122441765,18.2447551553007,0.973974725401712
"Stump Wood Volume","SP_WD_CV","260","MEDITERRANEAN_DIVISION",761,22.4666228646518,1.9,62.3,0.638675223150548,17.5722440766314,-0.0642824159633325,2.04299617260744,0.411783932233392,13.873816000565,0.0220145649344585,0.641484416392512,0.928352802108078
"Total Stem Wood Volume","ST_WD_CV_TOT","260","MEDITERRANEAN_DIVISION",762,22.4805774278215,1.9,62.3,20.931874169815,11.7559549488904,-1.20872434463191,0.179043371698305,11.1423433921486,8.76573513301934,0.605739492800339,20.9530279320458,0.976468244030665
"Merch Stem Bark Volume","ST_BK_CV_MER","260","MEDITERRANEAN_DIVISION",717,22.3728033472803,5,50.9,8.17546382226331,49.1879990033402,1.2670572114119,19.0622451975237,5.23488981069552,29.2147205863366,0.294821260539714,8.26743148910945,0.8628990274975
"Merch Stem Wood Volume","ST_WD_CV_MER","260","MEDITERRANEAN_DIVISION",717,22.3728033472803,5,50.9,16.0192394644617,11.8045731301469,-0.623625247204688,0.34900529906601,10.0441280355198,8.75964405847332,0.555829652245538,16.0202072100106,0.973074923405726
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","260","MEDITERRANEAN_DIVISION",718,22.3689415041783,5,50.9,17.365311765917,10.277405245792,0.659445653424607,1.55966918643115,10.6702677963617,7.54071555839917,0.591003104369383,17.365740110356,0.977541668694358
"Sawlog Bark Volume","ST_BK_CV_SAW","260","MEDITERRANEAN_DIVISION",691,22.9483357452967,9.2,50.9,8.30149456957867,50.8446184696669,1.19577081304086,18.4508020984573,5.36491516737128,29.3205056304957,0.297405826549939,8.38122592023005,0.857357604019644
"Sawlog Wood Volume","ST_WD_CV_SAW","260","MEDITERRANEAN_DIVISION",691,22.9483357452967,9.2,50.9,16.4424435871147,12.3470184397947,-0.817390369056828,0.297451264314368,10.5381495552251,9.23965130425909,0.572354314903266,16.4508610060333,0.97122021918772
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","260","MEDITERRANEAN_DIVISION",692,22.9434971098266,9.2,50.9,17.8858730673201,10.8550838196914,0.39831575092094,1.27187030330555,11.2375592573117,7.97579296478979,0.611004452580698,17.8773829500382,0.975814595663189
"Stump Bark Volume","SP_BK_CV","260","MEDITERRANEAN_DIVISION",736,21.8938858695652,1.9,50.9,0.377850619319226,53.6497042774465,-0.255520530898053,-9.23394340668776,0.323130134838633,38.4440181948259,0.0172753854872846,0.455925267747249,0.58484030442008
"Stump Wood+Bark Volume","SP_WDBK_CV","260","MEDITERRANEAN_DIVISION",737,21.8907734056988,1.9,50.9,0.63826327092092,13.0895808456219,-0.353741287653616,-5.55823023711356,0.460580432993274,11.311387046482,0.0262432181106261,0.729355981111871,0.918345909984105
"Total Stem Bark Volume","ST_BK_CV_TOT","260","MEDITERRANEAN_DIVISION",737,21.9090909090909,1.9,50.9,8.28404911794288,49.5112660197894,1.01369030647056,19.2865233816105,5.21950339152244,29.6916696994416,0.298359357682616,8.34025918139913,0.869487819046806
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","260","MEDITERRANEAN_DIVISION",738,21.9059620596206,1.9,50.9,17.1775826228705,9.64130113790895,0.413679226342019,1.39986866252055,10.4161272592311,7.19017555216416,0.584697155158314,17.1709246200507,0.979185819883806
