"VAR2","VAR3","SPCD","DIVISION","DIVISION_DESCRIPTION","N","Avg_DBH","Min_DBH","Max_DBH","SD(PE)","SD(PE%)","MEAN(PE)","MEAN(PE%)","MEAN(APE)","MEAN(APE%)","SIGMA","RMSE","FI"
"Merch Stem Bark Volume","ST_BK_CV_MER","12","210","WARM_CONTINENTAL_DIVISION",1267,7.69265982636148,5,19,0.306758819807841,47.3284862701153,0.0128199657310523,11.41409084311,0.183120226854715,25.2008710321084,0.0323744091881615,0.306905611473471,0.832888642836472
"Merch Stem Wood Volume","ST_WD_CV_MER","12","210","WARM_CONTINENTAL_DIVISION",1327,7.760286360211,5,19,0.878439881586548,15.0946659076179,-0.0226750898367928,0.191680474626921,0.584886845415626,8.64226427752344,0.092304934868705,0.878401548635245,0.970329777659083
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","12","210","WARM_CONTINENTAL_DIVISION",1391,7.77699496764917,5,21.3,1.08046260014577,14.6521957972977,-0.0729481006424476,-0.052899709900419,0.62672909463896,7.99374369765864,0.100390247998271,1.0825348048789,0.974432878103174
"Stump Bark Volume","SP_BK_CV","12","210","WARM_CONTINENTAL_DIVISION",2195,5.74200455580866,1,19,0.0340319615675149,NA,0.00407450849185514,Inf,0.0126605442632099,Inf,0.00299591660892498,0.0342673078236915,0.477575983301855
"Stump Wood Volume","SP_WD_CV","12","210","WARM_CONTINENTAL_DIVISION",2342,5.90918018787361,1,19,0.13633301085088,21.1681912234965,-0.0349374498986435,2.26166106642838,0.0627827604936131,16.7797690318705,0.0146342827345478,0.140710266172564,0.823831018868806
"Stump Wood+Bark Volume","SP_WDBK_CV","12","210","WARM_CONTINENTAL_DIVISION",2391,5.83810121288164,1,21.3,0.137013456320766,19.485123387197,-0.0251717757599399,3.84930561672326,0.0604042475136312,15.6913034576838,0.0143765861214032,0.139278333247249,0.861759062043245
"Total Stem Bark Volume","ST_BK_CV_TOT","12","210","WARM_CONTINENTAL_DIVISION",2196,5.74143897996357,1,19,0.258603824474325,35.259845939603,-0.000304650381877542,5.61922945868949,0.123914288109851,19.9689294655959,0.0276508146646431,0.25854511660619,0.886381133185313
"Total Stem Wood Volume","ST_WD_CV_TOT","12","210","WARM_CONTINENTAL_DIVISION",2361,5.91219822109276,1,19,0.730296567583174,11.6494174999768,-0.000495445689357408,0.115417970989635,0.381426228774704,7.85147341742376,0.0757853330224865,0.730142060982468,0.9829441135787
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT","12","210","WARM_CONTINENTAL_DIVISION",2392,5.83754180602007,1,21.3,0.824052103307903,10.8041662594448,-0.0420433883934519,-0.375392839417189,0.377249264863591,7.07361228714244,0.0763222669407652,0.824951893586877,0.985611888254028
"Sawlog Bark Volume","ST_BK_CV_SAW","12","210","WARM_CONTINENTAL_DIVISION",287,10.3947735191638,9,19,0.454374605889897,42.5817827163954,0.0613302446310727,11.694958190384,0.322169847687742,24.9432070839434,0.0408330566808118,0.457709866088602,0.718073696029551
"Sawlog Wood Volume","ST_WD_CV_SAW","12","210","WARM_CONTINENTAL_DIVISION",319,10.4677115987461,9,19,1.72769460867495,14.3646723236471,-0.206610027209799,-0.632015495603802,1.33078102850237,11.4128294539983,0.154626544983974,1.73731379464122,0.89455223718056
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","12","210","WARM_CONTINENTAL_DIVISION",327,10.72874617737,9,21.3,2.10791935434692,12.987119280499,-0.367683577563941,-1.55588839116975,1.50231347933711,10.4293158225382,0.170327117583184,2.13656899510361,0.936062054725849
"Merch Stem Bark Volume","ST_BK_CV_MER","129","210","WARM_CONTINENTAL_DIVISION",514,13.0782101167315,5,29,1.4636439504686,44.4035625416707,0.0479897911643768,10.1250192453904,0.949040904421485,24.6876135754575,0.0860090498670224,1.46300677551824,0.903009228838091
"Merch Stem Wood Volume","ST_WD_CV_MER","129","210","WARM_CONTINENTAL_DIVISION",521,13.1094049904031,5,29,4.0825387531013,9.63790358865785,0.316127398449503,1.10838273271724,2.30519558706648,7.04573429510071,0.2156991814432,4.09085181399928,0.982898936312961
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER","129","210","WARM_CONTINENTAL_DIVISION",569,12.8080843585237,5,36.7,4.4746003391136,9.45725408631669,0.321133704683338,1.68017490092986,2.47309538533632,7.01259854991913,0.229658303005506,4.48218550677783,0.985479534441516
"Sawlog Bark Volume","ST_BK_CV_SAW","129","210","WARM_CONTINENTAL_DIVISION",392,14.9127551020408,9,29,1.62151857197955,31.9136055096345,0.0266380769811789,4.57004061066837,1.09352071723859,19.8769390691171,0.0897186665298561,1.61966805584218,0.873967731502561
"Sawlog Wood Volume","ST_WD_CV_SAW","129","210","WARM_CONTINENTAL_DIVISION",406,14.9330049261084,9,29,4.76657052102451,10.2544124555197,0.113294981850464,-0.397404477390699,3.0478140797076,7.8123899195572,0.253044544040529,4.76204464642413,0.976077837074222
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW","129","210","WARM_CONTINENTAL_DIVISION",414,14.9528985507246,9,36.7,5.39968174662667,10.136359166369,0.0880562779299389,-0.2832684242951,3.39972706525172,7.65614664412915,0.277546732460184,5.39387526666539,0.979159069296569
"Stump Bark Volume","SP_BK_CV","129","210","WARM_CONTINENTAL_DIVISION",534,12.7041198501873,1.3,29,0.111439461023897,65.0968200830789,-0.0476880212836962,-3.49410715839811,0.075838042454052,32.6087154220025,0.00685155803268767,0.121118308915722,0.628353484326747
"Stump Wood Volume","SP_WD_CV","129","210","WARM_CONTINENTAL_DIVISION",579,13.0613126079447,1.3,33,0.440995824008782,24.3280729156689,-0.110288478846718,2.58668644069631,0.250798425470264,19.5924705571941,0.0242456696821199,0.454208080651502,0.858192297564154
"Stump Wood+Bark Volume","SP_WDBK_CV","129","210","WARM_CONTINENTAL_DIVISION",593,12.4435075885329,1.3,36.7,0.408935916309069,22.1837567525148,-0.109504703696059,1.65409961302329,0.25292270477413,17.8287593526018,0.0239250118580951,0.423010472000622,0.892857719444767
"Total Stem Bark Volume","ST_BK_CV_TOT","129","210","WARM_CONTINENTAL_DIVISION",534,12.7041198501873,1.3,29,1.47685126847592,43.1349526487661,0.000148901562479941,7.2612593001248,0.930318660938807,23.859331620609,0.0866526541170169,1.47546780845528,0.908882085793442
"Total Stem Wood Volume","ST_WD_CV_TOT","129","210","WARM_CONTINENTAL_DIVISION",579,13.0613126079447,1.3,33,4.74241751772454,9.86912783160034,-0.00418924650396946,1.35139161379157,2.47224151421566,7.1321603053975,0.233277407076956,4.73832224789321,0.980687483084792
