"VAR2","VAR3","DCLASS","N","Avg_DBH","Min_DBH","Max_DBH","SD(PE)","SD(PE%)","MEAN(PE)","MEAN(PE%)","MEAN(APE)","MEAN(APE%)","SIGMA","RMSE","FI"
"Merch Stem Bark Volume","ST_BK_CV_MER",8,23445,7.91910002132651,7,8.9,0.419785370359428,48.5511468634582,0.0062798670837748,12.0031165984991,0.308044168543286,28.2063485446112,0.0521631070575028,0.419823388574255,0.62338094175617
"Merch Stem Wood Volume","ST_WD_CV_MER",8,24160,7.91830298013245,7,8.9,0.964322116037452,14.9938624223216,-0.0874690582731142,0.446106281791591,0.723665505174658,10.9254840471979,0.120809954269441,0.968261064840543,0.840407794763299
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER",8,26697,7.91637637187699,7,8.9,1.0211033445415,13.4214686497979,-0.0834457297098093,0.279227324514011,0.763556070285193,9.65093081762478,0.127940252475204,1.0244882503056,0.850187785400561
"Stump Bark Volume","SP_BK_CV",8,23393,7.91860813063737,7,8.9,0.0472184663246113,NA,-0.00765685609965062,Inf,0.0340844550166913,Inf,0.00596960978714684,0.0478342523461892,0.348517333599463
"Stump Wood Volume","SP_WD_CV",8,34579,7.92337256716504,7,8.9,0.104957980995204,20.7383387208531,0.00171063037180255,4.13180163904298,0.07012119180288,15.8555921468833,0.0130313287397407,0.104970402737438,0.488274297236266
"Stump Wood+Bark Volume","SP_WDBK_CV",8,26648,7.91592990093065,7,8.9,0.13544503999038,21.4483937338276,-0.0198130666690861,-0.0958099117753711,0.0924042904956824,16.206013020977,0.0169839481343961,0.136883994813013,0.422355314011147
"Total Stem Bark Volume","ST_BK_CV_TOT",8,23449,7.91879397842125,7,8.9,0.463961236378104,47.6678284517283,0.01243006977401,11.49972338952,0.340521630988578,27.0996316732148,0.0577673021114197,0.464117825096678,0.622339731626702
"Total Stem Wood Volume","ST_WD_CV_TOT",8,34689,7.92329268644239,7,8.9,0.916541470299099,11.9650515168898,0.0352488274913451,1.54331254440543,0.686985407297788,8.89172488508926,0.113969377205899,0.917205827531127,0.878788608472468
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT",8,26704,7.91609871180348,7,8.9,0.967550656450056,10.6424607161207,0.0305083805142061,1.16524261131052,0.717460155475961,7.90964988625436,0.12049592946605,0.96801341797141,0.87195228605659
"Merch Stem Bark Volume","ST_BK_CV_MER",10,20493,9.91893817401064,9,10.9,0.709702767438097,46.4268295715041,0.018424073974036,11.5947131200784,0.523289136106346,27.1352418411289,0.0708199628369484,0.709924563991956,0.598629235320285
"Merch Stem Wood Volume","ST_WD_CV_MER",10,20963,9.91894766970376,9,10.9,1.63441786372921,13.8583280129828,-0.0726081088394101,0.920570716847907,1.21452146756975,9.84234421847193,0.16298774311142,1.63599091086367,0.829153331741693
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER",10,22571,9.91618448451553,9,10.9,1.74110889532571,12.0048600830937,-0.0525574070242532,0.857683939211525,1.27692254784397,8.75279661594204,0.173356943437894,1.74186341561765,0.838710790232794
"Sawlog Bark Volume","ST_BK_CV_SAW",10,12907,9.91092430464089,9,10.9,0.601777248816698,41.2144355084246,-0.0801736561443072,6.84918778148673,0.438864483740201,26.4976147658208,0.0602805742282801,0.607071342603795,0.641264335457494
"Sawlog Wood Volume","ST_WD_CV_SAW",10,13156,9.91029948312557,9,10.9,1.81779747502261,19.2389745221892,-0.420072272401848,-1.11868330455128,1.3998078876863,14.1936100068008,0.186270775146867,1.86563587138778,0.759684263806085
"Sawlog Wood+Bark Volume","ST_WDBK_CV_SAW",10,14438,9.90766034076742,9,10.9,1.98855857399491,17.3161408401807,-0.489981701096223,-1.5774445899609,1.51407928238747,12.9625638710646,0.204246849751168,2.04796811100119,0.764580309491642
"Stump Bark Volume","SP_BK_CV",10,20411,9.91810298368527,9,10.9,0.0694835922024948,NA,-0.0104261526631357,Inf,0.0502874053838667,Inf,0.00702412268368262,0.0702597872690108,0.305850721082588
"Stump Wood Volume","SP_WD_CV",10,30716,9.91862872769892,9,10.9,0.160041816697885,20.7073914680063,-0.00317869173872902,3.15084947345184,0.107959971007881,15.4539480833988,0.0159904224915967,0.160070775894823,0.434190455399422
"Stump Wood+Bark Volume","SP_WDBK_CV",10,22492,9.91544993775565,9,10.9,0.214118782385837,22.0316125152543,-0.0307296895131777,0.0072560016873149,0.144933351249185,16.3110320116326,0.0215684667975013,0.216307948132538,0.345471059600941
"Total Stem Bark Volume","ST_BK_CV_TOT",10,20471,9.91851888036735,9,10.9,0.761543709808925,45.8994108241752,0.0076918909700736,10.6691237680391,0.560058208982231,26.3558917216677,0.0760254041306583,0.761563954551974,0.599538288019389
"Total Stem Wood Volume","ST_WD_CV_TOT",10,30803,9.91871246307178,9,10.9,1.59118636764681,11.5994796976381,0.0324202545750132,1.3357691149598,1.18907942967732,8.57828523699142,0.158530980828742,1.59149078972977,0.858624729528459
"Total Stem Wood+Bark Volume","ST_WDBK_CV_TOT",10,22552,9.91583451578574,9,10.9,1.71576100282454,10.5855045617309,0.0057286628143158,0.949443710298801,1.24807218271492,7.79333227773684,0.17052066680689,1.71573252604407,0.847379212701482
"Merch Stem Bark Volume","ST_BK_CV_MER",12,17015,11.9080164560682,11,12.9,1.06821024427409,44.4669810918735,0.0320221261105362,11.28864549899,0.791779893539268,26.3080086112467,0.0890893910700276,1.06865872932251,0.577990133198039
"Merch Stem Wood Volume","ST_WD_CV_MER",12,17268,11.9071577484364,11,12.9,2.4953788843568,12.9459781305329,-0.125914174254019,0.91177400750653,1.87937410602048,9.52427488303965,0.208233186516786,2.49848144908661,0.803782467874462
"Merch Stem Wood+Bark Volume","ST_WDBK_CV_MER",12,18433,11.9073943470949,11,12.9,2.6408074752258,11.5801799942672,-0.107169426223402,0.791950209201224,1.9607346571038,8.438229051669,0.220539785169783,2.64290958439902,0.817765592019667
"Sawlog Bark Volume","ST_BK_CV_SAW",12,16901,11.908123779658,11,12.9,0.959865446739577,66.6288425155959,-0.0466879940267874,12.5297935920808,0.712469927062915,30.3471379306371,0.0799552990170574,0.960971867745133,0.606616771781787
